id,nome,cpf,dataNascimento,senha,matricula,tipo
1,Gabriela,111.222.333-44,1995-08-15,111,111,PILOTO
2,Bruna,222.333.444-55,1992-03-22,222,222,PILOTO
3,João Rafael,333.444.555-66,1990-11-05,333,333,PILOTO
4,Juliana,444.555.666-77,1993-12-28,444,444,PILOTO
5,Esther Luna Colombini,555.666.777-88,1985-01-10,555,555,ADMINISTRATIVO
6,Angelica Cunha dos Santos,666.777.888-99,1989-06-25,666,666,ADMINISTRATIVO
7,Antonio Carlos Carvalho Macedo,777.888.999-00,1987-04-30,777,777,ADMINISTRATIVO
8,Athyrson Machado Ribeiro,888.999.000-11,1998-09-12,888,888,ADMINISTRATIVO
9,Gabriel Dias de Oliveira,999.000.111-22,2000-02-14,999,999,ADMINISTRATIVO
10,João Victor Pátaro,000.111.222-33,1999-07-07,1010,1010,ADMINISTRATIVO
11,Wladimir Arturo Garces Carrillo,111.333.444-55,1986-10-19,1111,1111,ADMINISTRATIVO
