id,nome,cpf,dataNascimento,senha,classe
1,Lucas,000.000.000-111,1995-06-01,111,ECONOMICA
2,Amanda,000.000.000-222,1998-03-15,222,EXECUTIVA
1749221461416,Roberto,000.000.012-345,2000-12-12,12345,INDEFINIDA
1749221621863,Tereza,000.000.002-323,2005-28-12,2323,ECONOMICA
1749221666381,Diogo Barros,000.000.008-888,1500-22-10,8888,INDEFINIDA
1749477851164,Fabricio Karasz,532.994.128-84,2005-04-08,123,EXECUTIVA
1749496572334,Carla,000.000.001-212,2005-29-08,1212,ECONOMICA
1750266501758,Victor,000.000.000-333,2005-05-08,333,EXECUTIVA
1750273491045,Rafaela,000.000.000-789,2008-26-05,789,ECONOMICA1751243419747,Gilberti,434.154.998-71,2006-14-07,123,ECONOMICA
1751243419747,Gilberti,434.154.998-71,2006-14-07,123,ECONOMICA
